role,city,salary_min,salary_max,skills,experience,description,industry,posting_date,month
Senior Manager - Data Science,Gurgaon,9.0,15.0,Text miningCareer developmentdata scienceFinanceMachine learningData miningStakeholder managementSQL,6,Text miningCareer developmentdata scienceFinanceMachine learningData miningStakeholder managementSQL,IT,2026-02-15,Feb
Advance Analytical and Data Sciences -Manager,Gurgaon,12.0,20.0,Advanced Statistical AnalysisData Governance and Quality AssuranceMachine Learning and AIData Analysis and VisualizationManagementQuality assuranceArtificial IntelligenceData Visualization,8,Advanced Statistical AnalysisData Governance and Quality AssuranceMachine Learning and AIData Analysis and VisualizationManagementQuality assuranceArtificial IntelligenceData Visualization,IT,2026-02-15,Feb
Manager - Digital Product Analytics [Data Science],Gurgaon,9.0,15.0,Product managementCareer developmentOperations researchData modelingAnalyticalRelationship buildingMachine learningSQL,6,Product managementCareer developmentOperations researchData modelingAnalyticalRelationship buildingMachine learningSQL,IT,2026-02-15,Feb
Data Science Manager,Unknown,4.0,8.0,Change managementSASCodingData miningPythonRstatistic techniquesDebugging,2,Change managementSASCodingData miningPythonRstatistic techniquesDebugging,IT,2026-02-15,Feb
Data Science Manager,Unknown,9.0,15.0,Data analysisdata scienceAnalyticalPredictive modelingRisk managementData miningForecastingFinancial services,6,Data analysisdata scienceAnalyticalPredictive modelingRisk managementData miningForecastingFinancial services,IT,2026-02-15,Feb
Unknown,Unknown,6.0,10.0,Data analysisEDCRisk assessmentrisk modelingMachine learningData processingmodel developmentFinancial services,4,Data analysisEDCRisk assessmentrisk modelingMachine learningData processingmodel developmentFinancial services,IT,2026-02-15,Feb
Unknown,Unknown,7.5,12.5,Text miningCareer developmentdata scienceFinanceMachine learningData miningStakeholder managementSQL,5,Text miningCareer developmentdata scienceFinanceMachine learningData miningStakeholder managementSQL,IT,2026-02-15,Feb
Unknown,Unknown,4.0,8.0,Data Sciencedata analyticsSASData miningPythonRNLPMachine learning,2,Data Sciencedata analyticsSASData miningPythonRNLPMachine learning,IT,2026-02-15,Feb
GN - Strategy - MC - T&O - NLP Data Science - Analyst,Bangalore,15.0,25.0,deep learningdata scienceGCPNeural networksMachine learningCloudData processingSubject Matter Expert,10,deep learningdata scienceGCPNeural networksMachine learningCloudData processingSubject Matter Expert,IT,2026-02-15,Feb
Senior Data Science Analyst,Bangalore,28.5,47.5,Data SciencepythonPyTorchArtificial IntelligenceLarge language ManagementMachine LearningTensorFlowIntelligence,19,Data SciencepythonPyTorchArtificial IntelligenceLarge language ManagementMachine LearningTensorFlowIntelligence,IT,2026-02-15,Feb
Data Science - Senior Data Scientist,Noida,13.5,22.5,Statistical programmingData analysisAutomationAnalyticalMachine learningAgileOpen sourceSQL,9,Statistical programmingData analysisAutomationAnalyticalMachine learningAgileOpen sourceSQL,IT,2026-02-15,Feb
Senior Manager-Data Science,Gurgaon,12.0,20.0,NoSQLManager Quality AssuranceGCPMachine learningSCALAData processingData qualityAnalytics,8,NoSQLManager Quality AssuranceGCPMachine learningSCALAData processingData qualityAnalytics,IT,2026-02-15,Feb
GN - Strategy - MC - T&O - NLP Data Science - Analyst,Bangalore,9.0,15.0,Data analysisdata scienceAnalyticalMachine learningHTMLMonitoringFinancial servicesSQL,6,Data analysisdata scienceAnalyticalMachine learningHTMLMonitoringFinancial servicesSQL,IT,2026-02-15,Feb
Senior Divisional Manager- Data Science,Bangalore,13.5,22.5,Computer scienceContent strategyData analysisUsagedata scienceArtificial IntelligenceMachine learningData analytics,9,Computer scienceContent strategyData analysisUsagedata scienceArtificial IntelligenceMachine learningData analytics,IT,2026-02-15,Feb
Head Data Science -Leading Company - Mumbai / Delhi,Mumbai,4.0,8.0,Data ScienceSQLArtificial IntelligenceNatural Language ProcessingData AnalysisAimlTableauMachine Learning,2,Data ScienceSQLArtificial IntelligenceNatural Language ProcessingData AnalysisAimlTableauMachine Learning,IT,2026-02-15,Feb
Senior Analyst Data Science,Hyderabad,10.5,17.5,Supply chainOperations researchNoSQLdata sciencecassandraMachine learningMATLABSQL,7,Supply chainOperations researchNoSQLdata sciencecassandraMachine learningMATLABSQL,IT,2026-02-15,Feb
Data Science Engineer,Bangalore,4.5,8.0,Cloud computingStatistical modelingExceldata scienceMachine learningcloud storagedigital transformationAnalytics,3,Cloud computingStatistical modelingExceldata scienceMachine learningcloud storagedigital transformationAnalytics,IT,2026-02-15,Feb
"Senior Analyst, Data Science",Hyderabad,4.5,8.0,Data ModelingPythonSQlDataData analysisScienceModelingData Science,3,Data ModelingPythonSQlDataData analysisScienceModelingData Science,IT,2026-02-15,Feb
Data Science Domain Manager,Bangalore,10.5,17.5,Data ScienceData MartArtificial IntelligenceData CurationData MiningData VisualizationData AnalyticsMachine Learning,7,Data ScienceData MartArtificial IntelligenceData CurationData MiningData VisualizationData AnalyticsMachine Learning,IT,2026-02-15,Feb
Data Science Engineer,Noida,4.0,8.0,DATA SCIENCEPYTHON PROGRAMMINGArtificial IntelligenceNatural Language ProcessingMachine LearningDeep LearningIntelligenceProgram,0,DATA SCIENCEPYTHON PROGRAMMINGArtificial IntelligenceNatural Language ProcessingMachine LearningDeep LearningIntelligenceProgram,IT,2026-02-15,Feb
Data Science Consultant,Bangalore,4.0,8.0,Statistical programmingAnalyticalSAS Rclinical developmentProgrammingSAS ProgrammingTroubleshootingOracle,2,Statistical programmingAnalyticalSAS Rclinical developmentProgrammingSAS ProgrammingTroubleshootingOracle,IT,2026-01-15,Jan
Data Science & Analytics Professional,Other,12.0,20.0,data scientistimage processingdata labelNatural Language ProcessingLarge language modellingAILLMMachine Learning,8,data scientistimage processingdata labelNatural Language ProcessingLarge language modellingAILLMMachine Learning,IT,2026-02-15,Feb
